STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
24,100000080006010,1,3,1,00006,0,05,017,00000,'ZEKIAH SWAMP',NULL,'MD 6','0.04 M W OF BR NO 0800500',99.99,48.56,1,2000600000,0,38.00000,-70.00000,56,3,01,01,06,1929,2,0,12432,2009,5,13.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,11,0,00,1,0,13.4,20.4,21,0,0,13.4,14.3,99.99,N,0,N,99.9,0,6,6,6,8,N,1,63,1,37.6,6,6,N,5,9,8,NULL,NULL,NULL,1219,24,N,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,1970,1,6,0,0,8,0,5,Y,8,17132,2029,NULL,N,24,F,6,300.3
24,100000080044010,1,3,1,00234,0,05,017,00000,'MIRANT POWER COMPANY',NULL,'MD 234','0.19 MILE EAST OF US 301',99.99,0.306,1,2023400000,0,38.00000,-70.00000,48,3,01,01,06,1967,2,0,6741,2009,5,14.6,0,14,0,1,1,1,1,5,N,0,0,A,1,2,2,01,0,00,5,0,14.3,10.4,46.3,0,0,14.3,15.2,99.99,R,7.01,R,3,0,5,6,6,N,N,1,62.6,1,37.2,6,9,4,5,N,6,NULL,NULL,NULL,1219,24,N,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,0,1,1,0,0,8,0,1,Y,N,8418,2026,NULL,N,24,F,5,703.76
24,100000180001010,1,3,1,00005,0,05,037,00000,'ST CLEMENTS CREEK',NULL,'MD 5','0.72 MILE SOUTH OF MD 238',99.99,55.382,1,2000500000,0,38.00000,-70.00000,6,3,01,01,06,1929,2,0,6450,2009,2,13.4,0,0,0,N,N,1,1,5,0,0,0,A,1,5,1,11,0,00,1,0,13.1,6.1,7.3,0,0,13.1,14,99.99,N,0,N,99.9,0,6,6,6,6,N,1,99.9,1,89.3,6,5,N,5,8,6,NULL,NULL,NULL,1219,24,N,Y48,N,NULL,0817,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,1952,1,6,0,0,8,0,5,Y,8,8590,2026,NULL,N,24,F,6,102.2
24,100000180005040,1,3,1,00005,0,05,037,00000,'MOLL DYERS RUN',NULL,'MD 5','1.26 MILES S OF MD 244',99.99,37.731,1,2000500000,0,38.00000,-70.00000,11,3,01,01,06,1937,2,0,12500,2009,4,14.6,0,10,0,1,1,1,1,5,0,0,0,A,1,5,1,07,0,00,1,0,14.6,9.1,10.4,0,0,14.6,15.4,99.99,N,0,N,99.9,0,6,5,7,6,N,1,46.3,1,27.7,5,9,N,5,9,8,NULL,NULL,NULL,1019,12,N,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,1955,1,6,0,0,8,0,5,Y,8,15277,2026,NULL,N,24,F,5,160.16
24,100000180024010,1,3,1,00244,0,05,037,00000,'POPLAR HILL CREEK',NULL,'MD 244','0.16 M W OF TOWER HILL RD',99.99,9.509,0,2024400000,0,38.00000,-70.00000,10,3,01,01,09,1938,2,0,2190,2009,4,9.1,0,0,0,1,1,1,1,3,0,0,0,A,1,5,3,02,0,00,1,0,7.9,6.4,7,0,0,7.9,9.3,99.99,N,0,N,99.9,0,6,6,6,6,N,1,88.9,1,53.5,6,3,N,5,9,6,35,1,7,1219,24,N,Y48,N,NULL,0819,NULL,42,4,46,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,0,1,6,0,0,8,0,5,Y,8,3125,2026,NULL,N,24,F,6,65.1
24,200000WO0207010,1,4,1,00028,0,01,047,73075,'NASSAWANGO CREEK',NULL,'NASSAWANGO ROAD','2.05 MI SW OF MD 12',99.99,3.379,0,NULL,0,38.00000,-70.00000,3,3,02,02,07,1998,2,0,900,2010,9,5.5,0,0,0,1,0,0,0,5,0,0,0,A,1,5,7,01,0,00,8,0,6.7,4.6,34.7,0,0,6.7,7.3,99.99,N,0,N,99.9,0,7,7,7,6,N,2,56.2,2,41.3,7,4,N,5,6,5,38,1,NULL,919,24,N,Y48,N,NULL,0917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,0,8,6,0,0,5,0,NULL,Y,5,1100,2030,NULL,N,24,G,7,253.31
24,200000WO0213010,1,4,1,00026,0,01,047,00000,'POCOMOKE RIVER',NULL,'PORTERS CROSSING R','0.95 MI E OF MD 354',99.99,1.593,0,NULL,0,38.00000,-70.00000,10,3,02,02,09,1990,2,0,234,2015,5,6.7,0,0,0,1,0,1,0,5,0,0,0,P,1,5,7,01,0,00,6,0,6.9,4.6,28,0,0,6.9,7.2,99.99,N,0,N,99.9,0,6,6,6,7,N,2,35.4,2,25.4,6,4,N,3,7,8,NULL,NULL,NULL,919,12,N,Y48,N,NULL,0917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,0,8,6,0,0,5,0,NULL,Y,8,286,2035,NULL,N,24,F,6,201.6
24,200000WO0303010,1,4,1,00143,0,01,047,00000,'TRAPPE CREEK',NULL,'HARRISON ROAD','0.07 MI S OF MD 376',99.99,0.113,NULL,NULL,0,38.00000,-70.00000,10,3,02,02,09,2005,2,0,275,2010,9,6.7,0,0,0,1,1,1,0,5,0,0,0,A,1,5,7,01,0,00,2,0,6.8,4.6,9.8,0,0,6.9,7.3,99.99,N,0,N,99.9,0,7,7,6,7,N,2,60.3,2,44,6,4,N,5,7,3,NULL,NULL,NULL,1019,24,N,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,0,8,6,8,0,5,0,5,Y,8,335,2030,NULL,N,24,F,6,71.54
24,200000WO0308010,1,4,1,00135,0,01,047,00000,'NARROW BRANCH',NULL,'TIMMONSTOWN ROAD','0.40 MI NW OF MD 374',99.99,3.894,0,NULL,0,38.00000,-70.00000,16,3,02,02,09,1999,2,0,117,2015,9,6.7,0,0,0,1,1,1,0,5,0,0,0,P,1,5,7,01,0,00,2,0,6.7,3.7,7.3,0,0,6.7,7.1,99.99,N,0,N,99.9,0,6,6,6,6,N,2,38.5,2,27.7,6,4,N,5,7,8,NULL,NULL,NULL,919,12,N,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,0,8,6,0,0,5,0,NULL,Y,8,143,2035,NULL,N,24,F,6,51.83
24,200000WO0309010,1,4,1,00329,0,01,047,06800,'POCOMOKE RIVER',NULL,'MASSEY CROSSING RD','WOR-WIC CO LINE',99.99,1.319,0,NULL,0,38.00000,-70.00000,16,3,02,02,09,2007,2,0,110,2009,9,6.7,0,0,0,1,1,1,0,5,0,0,0,A,1,5,7,01,0,00,5,0,0.7,7.3,29.9,0,0,6.7,7.3,99.99,N,0,N,99.9,0,7,7,7,6,N,2,45.4,2,32.2,7,4,N,5,7,8,31,1,NULL,1019,24,N,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,N,2,NULL,0,0,0,8,6,0,0,5,0,NULL,Y,5,125,2029,NULL,N,24,G,7,218.27
